species,image_name,area,diameter,circularity,gray_firstorder_Mean,gray_firstorder_Variance,gray_firstorder_Skewness,gray_firstorder_Kurtosis
Eucalyptus_cinerea,H36_20221009_0001_2.jpg,703276,1054,0.7888025054038965,74.07229367015321,558.6150864068437,0.0686634478481816,3.726759686106536
Eucalyptus_cinerea,H36_20221009_0001_3.jpg,732874,1027,0.8021454304625304,115.1795655347474,209.7383383019417,-0.1271027993574972,5.5572779347648655
Eucalyptus_cinerea,H36_20221009_0002_2.jpg,622023,1043,0.7873296754059896,74.10468464508637,274.5136867247764,0.5758094535565025,4.812369411291887
Eucalyptus_cinerea,H36_20221009_0002_3.jpg,702148,1042,0.8310438741477735,106.27269690741578,427.2156880487268,0.0006532156136144,3.415407230775201
Eucalyptus_cinerea,H36_20221009_0003_2.jpg,701071,1058,0.8203922976721968,94.03835992016832,335.97213765446213,0.4338180999281887,4.024544473839259
Eucalyptus_cinerea,H36_20221009_0003_3.jpg,728816,1060,0.8233328403526373,111.86496423832354,258.2989521733501,0.0477460006376676,4.177736952237435
Eucalyptus_cinerea,H36_20221009_0004_2.jpg,765835,1057,0.8243644988828656,102.1563444856851,263.7908870625963,-0.038069193907858,3.8868598994526753
Eucalyptus_cinerea,H36_20221009_0004_3.jpg,732744,1042,0.817274322466944,108.87576630505104,322.44088677138217,0.3280309841291848,5.679988981882856
Eucalyptus_cinerea,H36_20221009_0005_2.jpg,763504,1064,0.8387996334276041,101.385139392545,360.22810595504944,-0.0433717104473632,3.970731557294576
Eucalyptus_cinerea,H36_20221009_0005_3.jpg,655285,1053,0.7961230775480455,107.0032741598734,315.9598861514554,-0.1571210376607655,3.689531893298085
Eucalyptus_cinerea,H36_20221009_0006_2.jpg,738399,1047,0.8346910564881002,107.26598712649395,242.3267818495748,0.0603805058145704,4.845074650483485
Eucalyptus_cinerea,H36_20221009_0006_3.jpg,706598,1028,0.8223688138910116,89.31763584231416,389.81881678960553,0.6309636001195662,4.0662627535124365
Eucalyptus_cinerea,H36_20221009_0007_2.jpg,816680,1070,0.8264292112894182,98.90202757204663,315.13369660514024,0.1626078491567186,4.334692506013161
Eucalyptus_cinerea,H36_20221009_0007_3.jpg,768246,1050,0.80305289027705,106.06294925475514,249.50309490502835,0.1820862609347693,5.131592133389769
Eucalyptus_cinerea,H36_20221009_0008_2.jpg,682262,1057,0.8201083997185019,109.51926640932288,342.155203433462,-0.1177103820186276,4.119269198198512
Eucalyptus_cinerea,H36_20221009_0008_3.jpg,697946,1036,0.8143047068592973,109.4904255319149,322.1163004595083,0.1228425048169881,4.338001279467737
Eucalyptus_cinerea,H36_20221009_0009_2.jpg,640453,1034,0.8363660161561383,105.02707040361749,362.3953072137535,-0.1813286216075406,3.3831407959532083
Eucalyptus_cinerea,H36_20221009_0009_3.jpg,609262,1044,0.7442231941931979,74.8608481759762,439.4958113114902,0.6689037914981002,4.218157957007919
Eucalyptus_cinerea,H36_20221009_0010_2.jpg,751981,1080,0.7879292081104782,111.8472238812309,232.4846625154187,0.1177115633138393,5.125456164435369
Eucalyptus_cinerea,H36_20221009_0010_3.jpg,689344,1068,0.7786835763692376,98.88325474941696,257.0605501926288,0.3517413747595523,4.650656458267767
